be être być
have avoir mieć
do de la z
say dire powiedzieć
go aller iść
can pouvoir puszka
get Avoir Pobierz
would serait chciałby
make faire robić
know savoir wiedzieć
will volonté wola
think penser myśleć
take prendre brać
see voir widzieć
come comment Co
could purent Może
want vouloir chcieć
look regarder patrzeć
use utiliser używać
find trouver znaleźć
give donner dać
tell raconter powiedzieć
work travail praca
may Mai Maj
should devoir powinien
call appeler nazwać
try essayer próbować
ask demander pytać
need besoin potrzeba
feel sentir czuć
become devenir stawać się
leave partir opuszczać
put mettre kłaść
mean méchant znaczyć
keep garder zachować
let laisser pozwalać
begin commencer zaczynać
seem sembler wydawać się
help Aide Pomoc
talk parler mówić
turn tourner skręcić
start commencer początek
might puissance potęga
show montrer pokazać
hear entendre słyszeć
play jouer grać
run Courir biegać
move bouger ruszać
like comme lubić
live vivre mieszkać
believe croire wierzyć
hold tenir trzymać
bring apporter przynieść
happen arriver dziać się
must devoir musieć
write écrire pisać
provide fournir dostarczać
sit s’asseoir siedzieć
stand Stand stać
lose perdre zgubić
pay payer płacić
meet rencontrer spełnić
include inclure zawierać
continue continuer kontynuować
set poser zbiór
learn apprendre uczyć się
change changement zmieniać
lead plomb ołów
understand comprendre rozumieć
watch montre zegarek
follow suivre następować
stop arrêter zatrzymać
create créer tworzyć
speak parler mówić
read lire czytać
allow permettre pozwolić
add ajouter dodawać
spend dépenser spędzać
grow grandir rosnąć
open ouvrir otwierać
walk marcher iść
win gagner wygrać
offer offrir oferta
remember se souvenir pamiętać
love amour miłość
consider considérer rozważać
appear Apparaître pojawić się
buy acheter kupić
wait attendre czekać
serve servir służyć
die les ten
send Envoyer Wyślij
expect attendre oczekiwać
build construire budować
stay rester pobyt
fall tomber jesień
cut couper ciąć
reach atteindre osiągnąć
kill tuer zabić
remain rester pozostać
